State,Year,Education Level of Mother,Number of Births,Average Age of Mother (years)
New Mexico,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1133,32.8
New Mexico,2017,"Some college credit, but not a degree",6463,27.2
New Mexico,2017,Unknown or Not Stated,55,28.6
New Mexico,2018,8th grade or less,557,28.4
New Mexico,2018,9th through 12th grade with no diploma,3490,24.6
New Mexico,2018,"Associate degree (AA, AS)",2159,29.0
New Mexico,2018,"Bachelor's degree (BA, AB, BS)",3182,30.8
New Mexico,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",536,34.2
New Mexico,2018,High school graduate or GED completed,5609,26.0
New Mexico,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1084,32.8
New Mexico,2018,"Some college credit, but not a degree",6365,27.4
New Mexico,2018,Unknown or Not Stated,57,27.2
New Mexico,2019,8th grade or less,572,28.8
New Mexico,2019,9th through 12th grade with no diploma,3440,24.7
New Mexico,2019,"Associate degree (AA, AS)",2135,29.2
New Mexico,2019,"Bachelor's degree (BA, AB, BS)",3085,30.9
New Mexico,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",510,33.8
New Mexico,2019,High school graduate or GED completed,5840,26.2
New Mexico,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1232,32.8
New Mexico,2019,"Some college credit, but not a degree",6092,27.5
New Mexico,2019,Unknown or Not Stated,54,29.1
New Mexico,2020,8th grade or less,519,28.8
New Mexico,2020,9th through 12th grade with no diploma,3208,24.9
New Mexico,2020,"Associate degree (AA, AS)",2056,29.2
New Mexico,2020,"Bachelor's degree (BA, AB, BS)",2982,30.8
New Mexico,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",495,34.0
New Mexico,2020,High school graduate or GED completed,5645,26.3
New Mexico,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1146,33.0
New Mexico,2020,"Some college credit, but not a degree",5796,27.4
New Mexico,2020,Unknown or Not Stated,56,28.4
New Mexico,2021,8th grade or less,502,28.2
New Mexico,2021,9th through 12th grade with no diploma,2871,24.8
New Mexico,2021,"Associate degree (AA, AS)",2076,29.4
New Mexico,2021,"Bachelor's degree (BA, AB, BS)",3126,31.0
New Mexico,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",440,34.2
New Mexico,2021,High school graduate or GED completed,5358,26.3
New Mexico,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",1411,33.2
New Mexico,2021,"Some college credit, but not a degree",5541,27.8
New Mexico,2021,Unknown or Not Stated,66,27.6
New York,2016,8th grade or less,10806,30.2
New York,2016,9th through 12th grade with no diploma,25331,26.4
New York,2016,"Associate degree (AA, AS)",18758,30.4
New York,2016,"Bachelor's degree (BA, AB, BS)",46756,32.0
New York,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8187,34.2
New York,2016,High school graduate or GED completed,51918,27.8
New York,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",33616,33.1
New York,2016,"Some college credit, but not a degree",37773,28.6
New York,2016,Unknown or Not Stated,1138,29.4
New York,2017,8th grade or less,10546,30.4
New York,2017,9th through 12th grade with no diploma,24154,26.8
New York,2017,"Associate degree (AA, AS)",18189,30.4
New York,2017,"Bachelor's degree (BA, AB, BS)",46142,32.2
New York,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8113,34.4
New York,2017,High school graduate or GED completed,51786,27.9
New York,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",33330,33.2
New York,2017,"Some college credit, but not a degree",36267,28.8
New York,2017,Unknown or Not Stated,1210,29.8
New York,2018,8th grade or less,9775,30.6
New York,2018,9th through 12th grade with no diploma,22395,26.8
New York,2018,"Associate degree (AA, AS)",17968,30.6
New York,2018,"Bachelor's degree (BA, AB, BS)",46108,32.2
New York,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8428,34.4
New York,2018,High school graduate or GED completed,51751,28.0
New York,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",33389,33.3
New York,2018,"Some college credit, but not a degree",35082,29.0
New York,2018,Unknown or Not Stated,1342,29.7
New York,2019,8th grade or less,8984,30.6
New York,2019,9th through 12th grade with no diploma,21562,27.0
New York,2019,"Associate degree (AA, AS)",17602,30.6
New York,2019,"Bachelor's degree (BA, AB, BS)",46163,32.3
New York,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8178,34.6
New York,2019,High school graduate or GED completed,50701,28.0
New York,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",33030,33.4
New York,2019,"Some college credit, but not a degree",33762,29.1
New York,2019,Unknown or Not Stated,1557,29.7
New York,2020,8th grade or less,8296,30.6
New York,2020,9th through 12th grade with no diploma,19427,27.2
New York,2020,"Associate degree (AA, AS)",16740,30.8
New York,2020,"Bachelor's degree (BA, AB, BS)",43673,32.3
New York,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",7900,34.4
New York,2020,High school graduate or GED completed,48608,28.2
New York,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",31728,33.4
New York,2020,"Some college credit, but not a degree",31492,29.2
New York,2020,Unknown or Not Stated,1474,29.5
New York,2021,8th grade or less,8023,30.7
New York,2021,9th through 12th grade with no diploma,17929,27.4
New York,2021,"Associate degree (AA, AS)",17058,30.8
New York,2021,"Bachelor's degree (BA, AB, BS)",45572,32.4
New York,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",8265,34.7
New York,2021,High school graduate or GED completed,48420,28.2
New York,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",33196,33.6
New York,2021,"Some college credit, but not a degree",30756,29.4
New York,2021,Unknown or Not Stated,1523,30.2
North Carolina,2016,8th grade or less,4529,30.2
North Carolina,2016,9th through 12th grade with no diploma,12793,24.6
North Carolina,2016,"Associate degree (AA, AS)",11044,29.6
North Carolina,2016,"Bachelor's degree (BA, AB, BS)",24234,31.0
North Carolina,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",2942,33.6
North Carolina,2016,High school graduate or GED completed,27443,25.6
North Carolina,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10217,32.6
North Carolina,2016,"Some college credit, but not a degree",27240,27.2
North Carolina,2016,Unknown or Not Stated,337,29.4
North Carolina,2017,8th grade or less,4390,30.4
North Carolina,2017,9th through 12th grade with no diploma,12421,24.8
North Carolina,2017,"Associate degree (AA, AS)",11148,29.6
North Carolina,2017,"Bachelor's degree (BA, AB, BS)",23506,31.2
North Carolina,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3017,33.8
North Carolina,2017,High school graduate or GED completed,28252,25.6
North Carolina,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10254,32.8
North Carolina,2017,"Some college credit, but not a degree",26866,27.2
North Carolina,2017,Unknown or Not Stated,271,29.4
North Carolina,2018,8th grade or less,3943,30.4
North Carolina,2018,9th through 12th grade with no diploma,11694,25.1
North Carolina,2018,"Associate degree (AA, AS)",11226,29.6
North Carolina,2018,"Bachelor's degree (BA, AB, BS)",24110,31.2
North Carolina,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3018,33.7
North Carolina,2018,High school graduate or GED completed,28321,25.8
North Carolina,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10446,32.9
North Carolina,2018,"Some college credit, but not a degree",25807,27.4
North Carolina,2018,Unknown or Not Stated,389,29.4
North Carolina,2019,8th grade or less,3942,30.2
North Carolina,2019,9th through 12th grade with no diploma,11254,25.2
North Carolina,2019,"Associate degree (AA, AS)",11332,29.6
North Carolina,2019,"Bachelor's degree (BA, AB, BS)",23941,31.2
North Carolina,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3117,34.0
North Carolina,2019,High school graduate or GED completed,29577,26.0
North Carolina,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10606,33.0
North Carolina,2019,"Some college credit, but not a degree",24528,27.5
North Carolina,2019,Unknown or Not Stated,428,28.7
North Carolina,2020,8th grade or less,3884,30.5
North Carolina,2020,9th through 12th grade with no diploma,10616,25.3
North Carolina,2020,"Associate degree (AA, AS)",11198,29.6
North Carolina,2020,"Bachelor's degree (BA, AB, BS)",24225,31.2
North Carolina,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3191,34.0
North Carolina,2020,High school graduate or GED completed,29290,26.0
North Carolina,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",10438,33.0
North Carolina,2020,"Some college credit, but not a degree",23565,27.7
North Carolina,2020,Unknown or Not Stated,323,29.4
North Carolina,2021,8th grade or less,3627,30.0
North Carolina,2021,9th through 12th grade with no diploma,10187,25.5
North Carolina,2021,"Associate degree (AA, AS)",11743,29.6
North Carolina,2021,"Bachelor's degree (BA, AB, BS)",26112,31.3
North Carolina,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3425,34.0
North Carolina,2021,High school graduate or GED completed,30032,26.2
North Carolina,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",11680,33.0
North Carolina,2021,"Some college credit, but not a degree",23322,28.0
North Carolina,2021,Unknown or Not Stated,338,30.2
North Dakota,2016,8th grade or less,170,28.4
North Dakota,2016,9th through 12th grade with no diploma,828,23.6
North Dakota,2016,"Associate degree (AA, AS)",1539,29.3
North Dakota,2016,"Bachelor's degree (BA, AB, BS)",2984,30.2
North Dakota,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",288,32.3
North Dakota,2016,High school graduate or GED completed,2214,26.0
North Dakota,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",783,31.4
North Dakota,2016,"Some college credit, but not a degree",2425,27.5
North Dakota,2016,Unknown or Not Stated,152,28.8
North Dakota,2017,8th grade or less,140,28.6
North Dakota,2017,9th through 12th grade with no diploma,791,24.0
North Dakota,2017,"Associate degree (AA, AS)",1421,29.6
North Dakota,2017,"Bachelor's degree (BA, AB, BS)",2810,30.2
North Dakota,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",303,32.5
North Dakota,2017,High school graduate or GED completed,2099,26.4
North Dakota,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",783,31.8
North Dakota,2017,"Some college credit, but not a degree",2247,27.6
North Dakota,2017,Unknown or Not Stated,143,28.6
North Dakota,2018,8th grade or less,113,28.9
North Dakota,2018,9th through 12th grade with no diploma,783,24.0
North Dakota,2018,"Associate degree (AA, AS)",1413,29.4
North Dakota,2018,"Bachelor's degree (BA, AB, BS)",2793,30.4
North Dakota,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",346,32.4
North Dakota,2018,High school graduate or GED completed,2160,26.3
North Dakota,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",776,31.7
North Dakota,2018,"Some college credit, but not a degree",2118,27.8
North Dakota,2018,Unknown or Not Stated,134,29.0
North Dakota,2019,8th grade or less,119,29.2
North Dakota,2019,9th through 12th grade with no diploma,757,24.7
North Dakota,2019,"Associate degree (AA, AS)",1303,29.6
North Dakota,2019,"Bachelor's degree (BA, AB, BS)",2676,30.4
North Dakota,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",293,32.4
North Dakota,2019,High school graduate or GED completed,2168,26.5
North Dakota,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",855,31.8
North Dakota,2019,"Some college credit, but not a degree",2144,28.0
North Dakota,2019,Unknown or Not Stated,139,29.0
North Dakota,2020,8th grade or less,108,29.8
North Dakota,2020,9th through 12th grade with no diploma,692,24.8
North Dakota,2020,"Associate degree (AA, AS)",1307,29.8
North Dakota,2020,"Bachelor's degree (BA, AB, BS)",2569,30.6
North Dakota,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",274,32.8
North Dakota,2020,High school graduate or GED completed,2144,26.6
North Dakota,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",799,31.8
North Dakota,2020,"Some college credit, but not a degree",2018,28.2
North Dakota,2020,Unknown or Not Stated,148,28.9
North Dakota,2021,8th grade or less,93,30.1
North Dakota,2021,9th through 12th grade with no diploma,673,24.8
North Dakota,2021,"Associate degree (AA, AS)",1329,29.8
North Dakota,2021,"Bachelor's degree (BA, AB, BS)",2689,30.5
North Dakota,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",336,32.6
North Dakota,2021,High school graduate or GED completed,2070,26.7
North Dakota,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",857,31.6
North Dakota,2021,"Some college credit, but not a degree",1914,28.3
North Dakota,2021,Unknown or Not Stated,151,29.4
Ohio,2016,8th grade or less,4627,28.4
Ohio,2016,9th through 12th grade with no diploma,13799,23.8
Ohio,2016,"Associate degree (AA, AS)",12589,29.7
Ohio,2016,"Bachelor's degree (BA, AB, BS)",26048,30.8
Ohio,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3361,33.0
Ohio,2016,High school graduate or GED completed,36228,25.6
Ohio,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",12445,32.3
Ohio,2016,"Some college credit, but not a degree",28449,27.4
Ohio,2016,Unknown or Not Stated,539,28.1
Ohio,2017,8th grade or less,4819,28.4
Ohio,2017,9th through 12th grade with no diploma,13242,23.8
Ohio,2017,"Associate degree (AA, AS)",12616,29.8
Ohio,2017,"Bachelor's degree (BA, AB, BS)",26013,30.8
Ohio,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3387,33.0
Ohio,2017,High school graduate or GED completed,37301,25.8
Ohio,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",12254,32.4
Ohio,2017,"Some college credit, but not a degree",26806,27.6
Ohio,2017,Unknown or Not Stated,394,28.4
Ohio,2018,8th grade or less,4774,28.7
Ohio,2018,9th through 12th grade with no diploma,12633,24.1
Ohio,2018,"Associate degree (AA, AS)",12070,29.8
Ohio,2018,"Bachelor's degree (BA, AB, BS)",26081,30.9
Ohio,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3537,33.2
Ohio,2018,High school graduate or GED completed,37813,25.9
Ohio,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",12349,32.6
Ohio,2018,"Some college credit, but not a degree",25493,27.9
Ohio,2018,Unknown or Not Stated,384,28.6
Ohio,2019,8th grade or less,4795,28.8
Ohio,2019,9th through 12th grade with no diploma,12240,24.2
Ohio,2019,"Associate degree (AA, AS)",11968,30.0
Ohio,2019,"Bachelor's degree (BA, AB, BS)",26014,31.0
Ohio,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3415,33.2
Ohio,2019,High school graduate or GED completed,38520,26.0
Ohio,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",12372,32.6
Ohio,2019,"Some college credit, but not a degree",24688,28.0
Ohio,2019,Unknown or Not Stated,449,28.4
Ohio,2020,8th grade or less,4902,28.6
Ohio,2020,9th through 12th grade with no diploma,11256,24.4
Ohio,2020,"Associate degree (AA, AS)",11466,30.1
Ohio,2020,"Bachelor's degree (BA, AB, BS)",25510,31.1
Ohio,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3457,33.3
Ohio,2020,High school graduate or GED completed,37407,26.1
Ohio,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",11987,32.6
Ohio,2020,"Some college credit, but not a degree",22804,28.2
Ohio,2020,Unknown or Not Stated,402,28.8
Ohio,2021,8th grade or less,5060,28.6
Ohio,2021,9th through 12th grade with no diploma,10348,24.5
Ohio,2021,"Associate degree (AA, AS)",11650,30.0
Ohio,2021,"Bachelor's degree (BA, AB, BS)",26962,31.1
Ohio,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",3621,33.4
Ohio,2021,High school graduate or GED completed,37267,26.2
Ohio,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",12615,32.6
Ohio,2021,"Some college credit, but not a degree",21817,28.4
Ohio,2021,Unknown or Not Stated,451,29.0
Oklahoma,2016,8th grade or less,1624,28.0
Oklahoma,2016,9th through 12th grade with no diploma,7170,23.8
Oklahoma,2016,"Associate degree (AA, AS)",3998,29.0
Oklahoma,2016,"Bachelor's degree (BA, AB, BS)",8742,30.3
Oklahoma,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",832,32.6
Oklahoma,2016,High school graduate or GED completed,15319,25.3
Oklahoma,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2579,32.0
Oklahoma,2016,"Some college credit, but not a degree",12196,27.0
Oklahoma,2016,Unknown or Not Stated,132,27.6
Oklahoma,2017,8th grade or less,1570,28.4
Oklahoma,2017,9th through 12th grade with no diploma,6487,24.0
Oklahoma,2017,"Associate degree (AA, AS)",3928,29.0
Oklahoma,2017,"Bachelor's degree (BA, AB, BS)",8381,30.4
Oklahoma,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",810,33.0
Oklahoma,2017,High school graduate or GED completed,14775,25.4
Oklahoma,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2403,32.0
Oklahoma,2017,"Some college credit, but not a degree",11725,27.0
Oklahoma,2017,Unknown or Not Stated,135,28.5
Oklahoma,2018,8th grade or less,1441,28.6
Oklahoma,2018,9th through 12th grade with no diploma,6134,24.1
Oklahoma,2018,"Associate degree (AA, AS)",3891,29.0
Oklahoma,2018,"Bachelor's degree (BA, AB, BS)",8324,30.5
Oklahoma,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",828,33.0
Oklahoma,2018,High school graduate or GED completed,15069,25.6
Oklahoma,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2472,32.0
Oklahoma,2018,"Some college credit, but not a degree",11534,27.2
Oklahoma,2018,Unknown or Not Stated,107,29.0
Oklahoma,2019,8th grade or less,1392,28.5
Oklahoma,2019,9th through 12th grade with no diploma,5984,24.4
Oklahoma,2019,"Associate degree (AA, AS)",3793,29.3
Oklahoma,2019,"Bachelor's degree (BA, AB, BS)",7909,30.5
Oklahoma,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",848,33.0
Oklahoma,2019,High school graduate or GED completed,15440,25.6
Oklahoma,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2476,32.2
Oklahoma,2019,"Some college credit, but not a degree",11148,27.2
Oklahoma,2019,Unknown or Not Stated,153,28.6
Oklahoma,2020,8th grade or less,1292,28.7
Oklahoma,2020,9th through 12th grade with no diploma,5775,24.4
Oklahoma,2020,"Associate degree (AA, AS)",3577,29.4
Oklahoma,2020,"Bachelor's degree (BA, AB, BS)",7891,30.5
Oklahoma,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",842,32.9
Oklahoma,2020,High school graduate or GED completed,14735,25.6
Oklahoma,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2504,32.3
Oklahoma,2020,"Some college credit, but not a degree",10893,27.5
Oklahoma,2020,Unknown or Not Stated,114,28.8
Oklahoma,2021,8th grade or less,1288,28.7
Oklahoma,2021,9th through 12th grade with no diploma,5458,24.4
Oklahoma,2021,"Associate degree (AA, AS)",3889,29.2
Oklahoma,2021,"Bachelor's degree (BA, AB, BS)",8336,30.4
Oklahoma,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",828,33.0
Oklahoma,2021,High school graduate or GED completed,15129,25.8
Oklahoma,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",2620,32.1
Oklahoma,2021,"Some college credit, but not a degree",10752,27.6
Oklahoma,2021,Unknown or Not Stated,110,29.3
Oregon,2016,8th grade or less,1306,31.3
Oregon,2016,9th through 12th grade with no diploma,4625,25.4
Oregon,2016,"Associate degree (AA, AS)",3773,29.9
Oregon,2016,"Bachelor's degree (BA, AB, BS)",9028,31.8
Oregon,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1397,34.2
Oregon,2016,High school graduate or GED completed,9901,26.4
Oregon,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",4139,33.3
Oregon,2016,"Some college credit, but not a degree",11135,28.2
Oregon,2016,Unknown or Not Stated,231,30.0
Oregon,2017,8th grade or less,1243,31.2
Oregon,2017,9th through 12th grade with no diploma,4212,25.5
Oregon,2017,"Associate degree (AA, AS)",3556,30.4
Oregon,2017,"Bachelor's degree (BA, AB, BS)",8799,32.0
Oregon,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1367,34.2
Oregon,2017,High school graduate or GED completed,9893,26.6
Oregon,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3922,33.4
Oregon,2017,"Some college credit, but not a degree",10421,28.4
Oregon,2017,Unknown or Not Stated,218,30.4
Oregon,2018,8th grade or less,1129,31.3
Oregon,2018,9th through 12th grade with no diploma,3975,25.6
Oregon,2018,"Associate degree (AA, AS)",3548,30.4
Oregon,2018,"Bachelor's degree (BA, AB, BS)",8685,32.0
Oregon,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1390,34.2
Oregon,2018,High school graduate or GED completed,9483,26.8
Oregon,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3883,33.6
Oregon,2018,"Some college credit, but not a degree",9847,28.4
Oregon,2018,Unknown or Not Stated,248,29.9
Oregon,2019,8th grade or less,1149,31.0
Oregon,2019,9th through 12th grade with no diploma,3708,25.8
Oregon,2019,"Associate degree (AA, AS)",3457,30.4
Oregon,2019,"Bachelor's degree (BA, AB, BS)",8581,32.0
Oregon,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1373,34.4
Oregon,2019,High school graduate or GED completed,9641,26.8
Oregon,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3879,33.7
Oregon,2019,"Some college credit, but not a degree",9822,28.8
Oregon,2019,Unknown or Not Stated,248,30.0
Oregon,2020,8th grade or less,943,31.0
Oregon,2020,9th through 12th grade with no diploma,3356,25.8
Oregon,2020,"Associate degree (AA, AS)",3409,30.4
Oregon,2020,"Bachelor's degree (BA, AB, BS)",8317,32.2
Oregon,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1353,34.8
Oregon,2020,High school graduate or GED completed,9376,27.0
Oregon,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3711,33.8
Oregon,2020,"Some college credit, but not a degree",9098,29.0
Oregon,2020,Unknown or Not Stated,257,30.4
Oregon,2021,8th grade or less,941,30.2
Oregon,2021,9th through 12th grade with no diploma,3224,26.0
Oregon,2021,"Associate degree (AA, AS)",3527,30.5
Oregon,2021,"Bachelor's degree (BA, AB, BS)",9135,32.2
Oregon,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",1425,34.8
Oregon,2021,High school graduate or GED completed,9487,27.2
Oregon,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",3930,33.8
Oregon,2021,"Some college credit, but not a degree",8920,29.0
Oregon,2021,Unknown or Not Stated,325,30.2
Pennsylvania,2016,8th grade or less,4534,28.6
Pennsylvania,2016,9th through 12th grade with no diploma,12291,24.6
Pennsylvania,2016,"Associate degree (AA, AS)",12598,29.8
Pennsylvania,2016,"Bachelor's degree (BA, AB, BS)",30011,31.2
Pennsylvania,2016,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4368,33.6
Pennsylvania,2016,High school graduate or GED completed,34598,26.4
Pennsylvania,2016,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",15918,32.6
Pennsylvania,2016,"Some college credit, but not a degree",24202,27.9
Pennsylvania,2016,Unknown or Not Stated,889,28.6
Pennsylvania,2017,8th grade or less,4471,28.8
Pennsylvania,2017,9th through 12th grade with no diploma,11823,24.8
Pennsylvania,2017,"Associate degree (AA, AS)",11990,30.0
Pennsylvania,2017,"Bachelor's degree (BA, AB, BS)",29284,31.4
Pennsylvania,2017,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4521,33.7
Pennsylvania,2017,High school graduate or GED completed,34606,26.6
Pennsylvania,2017,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",16003,32.8
Pennsylvania,2017,"Some college credit, but not a degree",24070,28.1
Pennsylvania,2017,Unknown or Not Stated,977,28.8
Pennsylvania,2018,8th grade or less,4454,28.9
Pennsylvania,2018,9th through 12th grade with no diploma,11444,24.9
Pennsylvania,2018,"Associate degree (AA, AS)",11748,30.1
Pennsylvania,2018,"Bachelor's degree (BA, AB, BS)",29163,31.4
Pennsylvania,2018,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4481,33.7
Pennsylvania,2018,High school graduate or GED completed,34084,26.7
Pennsylvania,2018,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",16131,32.8
Pennsylvania,2018,"Some college credit, but not a degree",22909,28.4
Pennsylvania,2018,Unknown or Not Stated,1259,29.4
Pennsylvania,2019,8th grade or less,4590,28.8
Pennsylvania,2019,9th through 12th grade with no diploma,10945,25.0
Pennsylvania,2019,"Associate degree (AA, AS)",11265,30.2
Pennsylvania,2019,"Bachelor's degree (BA, AB, BS)",28933,31.6
Pennsylvania,2019,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4505,33.8
Pennsylvania,2019,High school graduate or GED completed,33940,26.8
Pennsylvania,2019,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",15878,32.8
Pennsylvania,2019,"Some college credit, but not a degree",22416,28.5
Pennsylvania,2019,Unknown or Not Stated,1758,29.8
Pennsylvania,2020,8th grade or less,4527,28.8
Pennsylvania,2020,9th through 12th grade with no diploma,10584,25.4
Pennsylvania,2020,"Associate degree (AA, AS)",11110,30.4
Pennsylvania,2020,"Bachelor's degree (BA, AB, BS)",28555,31.6
Pennsylvania,2020,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4582,33.8
Pennsylvania,2020,High school graduate or GED completed,33519,27.0
Pennsylvania,2020,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",15940,33.0
Pennsylvania,2020,"Some college credit, but not a degree",20890,28.8
Pennsylvania,2020,Unknown or Not Stated,986,29.1
Pennsylvania,2021,8th grade or less,4913,28.7
Pennsylvania,2021,9th through 12th grade with no diploma,9760,25.4
Pennsylvania,2021,"Associate degree (AA, AS)",11149,30.6
Pennsylvania,2021,"Bachelor's degree (BA, AB, BS)",30278,31.8
Pennsylvania,2021,"Doctorate (PhD, EdD) or Professional Degree (MD, DDS, DVM, LLB, JD)",4940,34.1
Pennsylvania,2021,High school graduate or GED completed,33040,27.1
Pennsylvania,2021,"Master's degree (MA, MS, MEng, MEd, MSW, MBA)",17020,33.0
Pennsylvania,2021,"Some college credit, but not a degree",20558,29.0
